scenario,method,num_gpus,seed,avg_jct,p95_jct,slowdown_mean,slowdown_p95,sla,gpu_utilization,energy_kwh,queue_len_mean,jct_cv,fairness_jain,scheduler_overhead_ms,action_entropy,transition_recovery_time
drift_diurnal_shifted_bursty,DynamicHeuristic,4,2413626728,462.9220779220779,855.0,1.0097013921699811,1.0340713406950712,0.032467532467532464,0.9673525377229081,5.403472222221819,54.523731138545955,0.540009398695447,0.7742274241712743,0.009938005096245869,1.6094379124341,0.0
drift_diurnal_shifted_bursty,DynamicHeuristic,4,2669561133,471.57142857142856,865.0,1.009045376058863,1.0350548111690685,0.05,0.9659863945578231,5.005694444444105,45.75539781129843,0.5459872170449878,0.7703554638025039,0.010254248977809289,1.6094379124341,0.0
drift_diurnal_shifted_bursty,DynamicHeuristic,4,1861606530,478.7596899224806,871.0,1.0098370568627304,1.0369664735219377,0.046511627906976744,0.9750319081046586,4.679374999999678,43.91799617102744,0.5421943154471036,0.7728126514142595,0.010048184707030077,1.6094379124340998,0.0
drift_diurnal_shifted_bursty,DynamicHeuristic,4,303575866,451.09022556390977,812.0,1.0103902065137673,1.036100749024805,0.05263157894736842,0.9666014988595634,4.546388888888597,44.39719778429456,0.49666061150869406,0.8021357583068062,0.010460437818171815,1.6094379124341,0.0
drift_base_bursty_diurnal,SRPT,4,1297857706,535.7037037037037,881.5,1.0101563230127533,1.0393187467958884,0.1925925925925926,0.9700108313024641,5.48826388888849,37.08637963715137,0.47533743423702624,0.8156968283785215,0.009710107183502773,1.6094379124340996,3482.5
drift_diurnal_shifted_bursty,StaticEqual,4,3245997488,517.189349112426,865.0,1.0084020821422628,1.0328538906920905,0.03550295857988166,0.968016103779915,6.632083333332795,69.24334600760456,0.48050030461548804,0.8124265233505216,0.009871551055142256,1.6094379124341,5167.5
drift_diurnal_shifted_bursty,BanditEpsGreedy,4,43675928,459.2307692307692,870.0,1.0095993612346874,1.0370630397233316,0.04895104895104895,0.9586038961038961,4.981319444444082,42.41204250295159,0.5398613451782552,0.774323271798355,0.017988907844416462,0.7334357685516179,0.0
drift_diurnal_shifted_bursty,BanditEpsGreedy,4,2244470384,444.13793103448273,845.0,1.0099254515712495,1.0303982079125151,0.08275862068965517,0.9709515096065874,4.877291666666345,51.425129612686796,0.5696140788073907,0.7550245759881256,0.01861297077822126,0.7376198654077676,0.0
drift_diurnal_shifted_bursty,BanditEpsGreedy,4,2370645502,457.51908396946567,842.5,1.0104667365744011,1.0382004377061633,0.05343511450381679,0.9595338297183554,4.545694444444171,41.88766591129816,0.5369842170484946,0.7761853605856319,0.01826454402268953,0.7450115889866303,0.0
abrupt_spike_base_burst_diurnal,StaticEqual,4,3793666849,424.5364238410596,855.0,1.0105153124935835,1.0337108323988058,0.033112582781456956,0.9704350490196079,4.852638888888555,56.43841911764706,0.5798565733936459,0.7483721153153163,0.01016206757484207,1.6094379124340998,3902.5
abrupt_spike_base_burst_diurnal,StaticEqual,4,1725437227,442.0143884892086,861.0,1.0110114132563235,1.0394458472460486,0.050359712230215826,0.9611550632911392,4.657291666666363,53.925316455696205,0.5697482727734813,0.754937426087051,0.010004377820016227,1.6094379124341,3822.5
