workload,intensity,num_gpus,super_high_load,regime_id,scheduler,seed,avg_jct,p95_jct,slowdown_mean,slowdown_p95,sla,gpu_utilization,energy_kwh,queue_len_mean,jct_cv,fairness_jain,scheduler_overhead_ms,action_entropy
base,low,2,0,base_low_2gpus,EDF,1082054134,469.9166666666667,840.5,1.0109243089052342,1.0393896785764845,0.03333333333333333,0.9589205912684772,2.3411805555554954,19.04709522172568,0.557385536360855,0.7629635308169563,0.00355460368882882,0.0
base,low,2,0,base_low_2gpus,EDF,701447503,518.6607142857143,818.75,1.008203374990083,1.0242200428071935,0.05357142857142857,0.9721189591078067,2.4085416666666215,19.509293680297397,0.4728813222280828,0.8172493586388981,0.003847898908525053,0.0
base,low,2,0,base_low_2gpus,EDF,221501985,468.0851063829787,838.9999999999997,1.008640777564897,1.0277108860942055,0.10638297872340426,0.9634794156706508,1.825208333333272,13.061088977423639,0.4922203657191735,0.8049709283252386,0.003835625976334182,0.0
base,low,2,0,base_low_2gpus,SRPT,1822356758,396.2307692307692,799.9999999999999,1.0107845149561119,1.0413337657636643,0.26153846153846155,0.9588989441930619,2.1343055555554566,13.033559577677226,0.6109189473594027,0.7282143957426048,0.0036680181797395066,0.0
base,low,2,0,base_low_2gpus,SRPT,1441750127,436.05263157894734,866.0,1.011639181120472,1.0377873798272432,0.24561403508771928,0.9571484222828204,2.0627777777776677,10.52317880794702,0.6440244640842493,0.7068299156509729,0.003526580897201597,0.0
base,low,2,0,base_low_2gpus,SRPT,961804609,487.1969696969697,858.75,1.0085015776216246,1.0282732308158917,0.13636363636363635,0.972052535125229,2.6647916666666567,16.83017715332926,0.45164447312986616,0.8305766976482923,0.0035248417908635282,0.0
base,low,2,0,base_low_2gpus,SRPT,581197978,451.3888888888889,848.5,1.0102121461886353,1.0511585502042988,0.24074074074074073,0.9638144742103159,2.021319444444353,12.244302279088364,0.4980302027378839,0.8012601688923682,0.0034908329037104512,0.0
base,low,2,0,base_low_2gpus,SRPT,101252460,509.3243243243243,868.5,1.0051007919796044,1.0132125094666034,0.16216216216216217,0.9777312025150642,3.1218055555556163,20.676971443542048,0.44966349080743767,0.8318102506633526,0.0035738307318533315,0.0
base,low,2,0,base_low_2gpus,DynamicHeuristic,2118980570,447.72727272727275,830.0,1.0094987641930018,1.027864351749246,0.03636363636363636,0.9685759745425616,2.040138888888798,17.351233094669848,0.5268622774623491,0.7827274840953582,0.0037224081278405935,0.0
base,low,2,0,base_low_2gpus,DynamicHeuristic,1639035052,442.36842105263156,830.9999999999999,1.0090345752707663,1.0334611814934953,0.03508771929824561,0.9647832817337462,2.090138888888794,19.239938080495357,0.5951165518067295,0.7384631506819601,0.0037178100649587847,0.0
base,low,2,0,base_low_2gpus,DynamicHeuristic,1258428421,511.54545454545456,856.0,1.0085102660877214,1.0325753856607103,0.05454545454545454,0.975831873905429,2.331249999999945,19.3569176882662,0.4905063060905779,0.80606389856309,0.0036373478630614743,0.0
base,low,2,0,base_low_2gpus,DynamicHeuristic,778482903,512.6923076923077,830.0,1.0071354602976674,1.0194118104226686,0.09615384615384616,0.9582577132486388,2.2159722222221325,16.154990925589836,0.43803565850979814,0.8390139907358002,0.003565007626030851,0.0
